REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2019/01/08 19:30:00,1129.29,111.92,TRADE
TAS1,2019/01/08 20:00:00,1138.96,111.85,TRADE
TAS1,2019/01/08 20:30:00,1145.3,111.85,TRADE
TAS1,2019/01/08 21:00:00,1123.91,111.83,TRADE
TAS1,2019/01/08 21:30:00,1103.34,112.14,TRADE
TAS1,2019/01/08 22:00:00,1063.26,102.22,TRADE
TAS1,2019/01/08 22:30:00,1029.14,111.27,TRADE
TAS1,2019/01/08 23:00:00,1013.63,132.28,TRADE
TAS1,2019/01/08 23:30:00,1018.64,129.79,TRADE
TAS1,2019/01/09 00:00:00,990.57,125.59,TRADE
TAS1,2019/01/09 00:30:00,955.98,111.67,TRADE
TAS1,2019/01/09 01:00:00,945.73,115.30,TRADE
TAS1,2019/01/09 01:30:00,963.84,126,TRADE
TAS1,2019/01/09 02:00:00,955.43,111.83,TRADE
TAS1,2019/01/09 02:30:00,943.02,111.83,TRADE
TAS1,2019/01/09 03:00:00,943.61,122.46,TRADE
TAS1,2019/01/09 03:30:00,926.32,111.83,TRADE
TAS1,2019/01/09 04:00:00,938.82,122.46,TRADE
TAS1,2019/01/09 04:30:00,970.21,110.28,TRADE
TAS1,2019/01/09 05:00:00,997.81,107.53,TRADE
TAS1,2019/01/09 05:30:00,1021.49,107.53,TRADE
TAS1,2019/01/09 06:00:00,1053.07,120.29,TRADE
TAS1,2019/01/09 06:30:00,1105.47,109.76,TRADE
TAS1,2019/01/09 07:00:00,1119.97,108.59,TRADE
TAS1,2019/01/09 07:30:00,1111.62,107.62,TRADE
TAS1,2019/01/09 08:00:00,1131.67,107.56,TRADE
TAS1,2019/01/09 08:30:00,1117.73,107.54,TRADE
TAS1,2019/01/09 09:00:00,1092.44,107.53,TRADE
TAS1,2019/01/09 09:30:00,1075.79,107.53,TRADE
TAS1,2019/01/09 10:00:00,1060.15,107.52,TRADE
TAS1,2019/01/09 10:30:00,1034.86,107.53,TRADE
TAS1,2019/01/09 11:00:00,1040.7,107.52,TRADE
TAS1,2019/01/09 11:30:00,1039.92,107.52,TRADE
TAS1,2019/01/09 12:00:00,1015.54,107.11,TRADE
TAS1,2019/01/09 12:30:00,999.42,107.08,TRADE
TAS1,2019/01/09 13:00:00,989.52,107.18,TRADE
TAS1,2019/01/09 13:30:00,1020.42,109.54,TRADE
TAS1,2019/01/09 14:00:00,1015.71,107.54,TRADE
TAS1,2019/01/09 14:30:00,1031.69,107.53,TRADE
TAS1,2019/01/09 15:00:00,1024.38,107.52,TRADE
TAS1,2019/01/09 15:30:00,995.46,107.53,TRADE
TAS1,2019/01/09 16:00:00,1014.39,124.79,TRADE
TAS1,2019/01/09 16:30:00,1052.31,109.79,TRADE
TAS1,2019/01/09 17:00:00,1095.84,111.78,TRADE
TAS1,2019/01/09 17:30:00,1113.3,111.43,TRADE
TAS1,2019/01/09 18:00:00,1121.56,107.54,TRADE
TAS1,2019/01/09 18:30:00,1113.46,107.57,TRADE
TAS1,2019/01/09 19:00:00,1127.96,113.28,TRADE
TAS1,2019/01/09 19:30:00,1148.4,112.58,TRADE
TAS1,2019/01/09 20:00:00,1156.05,107.88,TRADE
TAS1,2019/01/09 20:30:00,1132.19,107.98,TRADE
TAS1,2019/01/09 21:00:00,1134.62,120.07,TRADE
TAS1,2019/01/09 21:30:00,1092.31,107.55,TRADE
TAS1,2019/01/09 22:00:00,1046.15,107.54,TRADE
TAS1,2019/01/09 22:30:00,1049.9,107.54,TRADE
TAS1,2019/01/09 23:00:00,1033.85,107.54,TRADE
TAS1,2019/01/09 23:30:00,1007.28,107.54,TRADE
TAS1,2019/01/10 00:00:00,980.49,107.54,TRADE
TAS1,2019/01/10 00:30:00,957.54,107.54,TRADE
TAS1,2019/01/10 01:00:00,991.73,107.54,TRADE
TAS1,2019/01/10 01:30:00,986.63,107.55,TRADE
